,date,Stock,compound,neg,neu,pos
102,2021-03-21,ADBE,0.31255,0.0,0.687,0.313
103,2021-03-22,ADBE,0.0,0.0,1.0,0.0
104,2021-03-24,ADBE,0.0,0.0,1.0,0.0
105,2021-03-30,ADBE,0.0,0.0,1.0,0.0
106,2021-04-02,ADBE,0.0,0.0,1.0,0.0
107,2021-04-11,ADBE,0.0,0.0,1.0,0.0
108,2021-04-18,ADBE,0.0,0.0,1.0,0.0
109,2021-04-22,ADBE,0.0,0.0,1.0,0.0
110,2021-04-25,ADBE,0.6808,0.0,0.556,0.444
111,2021-04-30,ADBE,0.0,0.0,1.0,0.0
112,2021-05-02,ADBE,0.2263,0.0,0.725,0.275
113,2021-05-04,ADBE,0.0,0.0,1.0,0.0
114,2021-05-08,ADBE,0.0,0.0,1.0,0.0
115,2021-05-14,ADBE,0.0,0.0,1.0,0.0
116,2021-05-15,ADBE,0.0,0.0,1.0,0.0
117,2021-05-19,ADBE,0.0,0.0,1.0,0.0
118,2021-05-20,ADBE,0.0,0.0,1.0,0.0
119,2021-05-23,ADBE,-0.5267,0.405,0.595,0.0
120,2021-05-24,ADBE,-0.08105000000000001,0.1055,0.784,0.1105
121,2021-05-26,ADBE,0.0,0.0,1.0,0.0
122,2021-06-01,ADBE,0.0,0.0,1.0,0.0
123,2021-06-04,ADBE,0.0,0.0,1.0,0.0
124,2021-06-07,ADBE,0.0,0.0,1.0,0.0
125,2021-06-08,ADBE,0.35336666666666666,0.0,0.636,0.36400000000000005
126,2021-06-13,ADBE,0.0,0.0,1.0,0.0
127,2021-06-14,ADBE,0.5446,0.0,0.6174999999999999,0.38249999999999995
128,2021-06-17,ADBE,0.0,0.0,1.0,0.0
129,2021-06-18,ADBE,0.24695,0.0,0.778,0.222
130,2021-06-21,ADBE,0.0,0.0,1.0,0.0
131,2021-06-22,ADBE,0.3818,0.0,0.794,0.206
132,2021-06-23,ADBE,0.148,0.0,0.902,0.098
133,2021-06-28,ADBE,0.7351,0.0,0.446,0.554
134,2021-06-30,ADBE,0.0,0.0,1.0,0.0
135,2021-07-01,ADBE,0.0,0.0,1.0,0.0
136,2021-07-02,ADBE,0.0,0.0,1.0,0.0
137,2021-07-06,ADBE,0.431,0.142,0.548,0.311
138,2021-07-07,ADBE,0.2231,0.0965,0.6895,0.214
139,2021-07-08,ADBE,0.003966666666666664,0.057999999999999996,0.8766666666666666,0.06533333333333334
140,2021-07-09,ADBE,0.4019,0.0,0.597,0.403
141,2021-07-12,ADBE,0.0,0.0,1.0,0.0
142,2021-07-22,ADBE,0.0258,0.0,0.864,0.136
143,2021-07-23,ADBE,-0.22135000000000002,0.3125,0.5775,0.11
144,2021-07-24,ADBE,0.0,0.0,1.0,0.0
145,2021-07-25,ADBE,0.3818,0.0,0.729,0.271
146,2021-07-26,ADBE,0.09486666666666667,0.0,0.9356666666666666,0.06433333333333334
147,2021-08-01,ADBE,-0.25,0.154,0.846,0.0
148,2021-08-02,ADBE,0.0,0.0,1.0,0.0
149,2021-08-05,ADBE,0.6369,0.0,0.656,0.344
150,2021-08-10,ADBE,0.6249,0.0,0.638,0.362
151,2021-08-15,ADBE,-0.21005,0.179,0.821,0.0
152,2021-08-19,ADBE,0.47550000000000003,0.0,0.6895,0.3105
153,2021-08-24,ADBE,0.6249,0.0,0.611,0.389
154,2021-08-25,ADBE,-0.043833333333333314,0.09966666666666667,0.8116666666666666,0.08866666666666667
155,2021-08-27,ADBE,0.28595,0.0,0.8420000000000001,0.158
156,2021-08-28,ADBE,0.0,0.0,1.0,0.0
157,2021-09-10,ADBE,0.5994,0.0,0.505,0.495
158,2021-09-27,ADBE,0.0,0.0,1.0,0.0
159,2020-07-08,AMZN,0.1779,0.0,0.918,0.082
160,2020-10-12,AMZN,0.1027,0.112,0.672,0.216
161,2020-11-16,AMZN,-0.3182,0.414,0.404,0.182
162,2020-12-08,AMZN,0.1779,0.0,0.855,0.145
163,2020-12-14,AMZN,0.1779,0.0,0.825,0.175
164,2021-01-23,AMZN,0.1779,0.0,0.841,0.159
165,2021-01-31,AMZN,0.743,0.0,0.49,0.51
166,2021-02-01,AMZN,0.34,0.0,0.469,0.531
167,2021-02-03,AMZN,0.2415,0.1225,0.432,0.4455
168,2021-02-04,AMZN,0.1779,0.0,0.884,0.116
169,2021-02-14,AMZN,0.4242,0.0,0.631,0.369
170,2021-02-16,AMZN,0.5574,0.0,0.603,0.397
171,2021-02-17,AMZN,0.1779,0.0,0.805,0.195
172,2021-02-23,AMZN,0.5574,0.0,0.685,0.315
173,2021-02-26,AMZN,0.6249,0.0,0.396,0.604
174,2021-03-08,AMZN,0.6249,0.0,0.495,0.505
175,2021-03-10,AMZN,0.5574,0.0,0.521,0.479
176,2021-03-12,AMZN,0.1779,0.0,0.779,0.221
177,2021-03-16,AMZN,0.1779,0.0,0.825,0.175
178,2021-03-29,AMZN,0.1779,0.0,0.841,0.159
179,2021-04-01,AMZN,0.4497,0.0,0.639,0.361
180,2021-04-12,AMZN,0.4404,0.0,0.707,0.293
181,2021-04-26,AMZN,0.5106,0.0,0.777,0.223
182,2021-04-27,AMZN,0.0,0.0,1.0,0.0
183,2021-04-30,AMZN,0.1779,0.0,0.541,0.459
184,2021-05-03,AMZN,0.4939,0.0,0.811,0.189
185,2021-05-04,AMZN,0.1779,0.0,0.805,0.195
186,2021-05-06,AMZN,0.5709,0.0,0.46,0.54
187,2021-05-12,AMZN,0.1779,0.0,0.825,0.175
188,2021-05-13,AMZN,0.2716,0.0,0.8836666666666667,0.11633333333333334
189,2021-05-16,AMZN,-0.0103,0.27,0.466,0.264
190,2021-05-18,AMZN,0.36765000000000003,0.0,0.729,0.271
191,2021-05-23,AMZN,0.1779,0.0,0.702,0.298
192,2021-05-25,AMZN,0.4522,0.0,0.752,0.248
193,2021-05-26,AMZN,0.0,0.0,1.0,0.0
194,2021-06-01,AMZN,0.030949999999999978,0.197,0.552,0.251
195,2021-06-02,AMZN,0.1779,0.0,0.702,0.298
196,2021-06-09,AMZN,0.1779,0.0,0.805,0.195
197,2021-06-13,AMZN,0.7506,0.0,0.403,0.597
198,2021-06-15,AMZN,0.435,0.0,0.77,0.22999999999999998
199,2021-06-16,AMZN,0.4767,0.0,0.837,0.163
200,2021-06-17,AMZN,0.1779,0.0,0.779,0.221
201,2021-06-18,AMZN,0.1779,0.0,0.825,0.175
202,2021-06-21,AMZN,0.12140000000000001,0.074,0.755,0.171
203,2021-06-25,AMZN,0.4535,0.12,0.494,0.386
204,2021-06-30,AMZN,0.1779,0.0,0.792,0.20800000000000002
205,2021-07-06,AMZN,0.19979999999999998,0.0,0.9126666666666666,0.08733333333333333
206,2021-07-07,AMZN,0.3612,0.0,0.72,0.28
207,2021-07-09,AMZN,0.5574,0.0,0.603,0.397
208,2021-07-10,AMZN,-0.3182,0.309,0.515,0.175
209,2021-07-13,AMZN,0.1779,0.0,0.866,0.134
210,2021-07-18,AMZN,0.5574,0.0,0.521,0.479
211,2021-07-20,AMZN,0.44815000000000005,0.0615,0.607,0.3315
212,2021-07-26,AMZN,0.1779,0.0,0.855,0.145
213,2021-07-29,AMZN,0.0772,0.139,0.693,0.168
214,2021-07-30,AMZN,0.1647666666666667,0.072,0.7796666666666666,0.14833333333333332
215,2021-08-01,AMZN,-0.0772,0.288,0.45,0.261
216,2021-08-02,AMZN,0.0,0.0,1.0,0.0
217,2021-08-03,AMZN,0.6705,0.0,0.48,0.52
218,2021-08-04,AMZN,-0.6597,0.416,0.584,0.0
219,2021-08-05,AMZN,0.25,0.147,0.588,0.265
220,2021-08-07,AMZN,0.1779,0.0,0.841,0.159
221,2021-08-10,AMZN,0.1779,0.0,0.841,0.159
222,2021-08-11,AMZN,0.1779,0.0,0.892,0.108
223,2021-08-13,AMZN,0.09,0.0,0.899,0.101
224,2021-08-14,AMZN,0.1779,0.0,0.825,0.175
225,2021-08-16,AMZN,0.0,0.0,1.0,0.0
226,2021-08-19,AMZN,0.0,0.1085,0.743,0.14850000000000002
227,2021-08-20,AMZN,0.1779,0.0,0.805,0.195
228,2021-08-22,AMZN,0.1779,0.0,0.805,0.195
229,2021-08-24,AMZN,0.5574,0.0,0.603,0.397
230,2021-08-26,AMZN,0.1779,0.0,0.855,0.145
231,2021-08-30,AMZN,0.2023,0.163,0.579,0.258
232,2021-09-01,AMZN,0.1779,0.0,0.892,0.108
233,2021-09-06,AMZN,0.5719,0.0,0.719,0.281
234,2021-09-08,AMZN,-0.3182,0.315,0.685,0.0
235,2021-09-10,AMZN,0.5994,0.0,0.505,0.495
236,2021-09-17,AMZN,0.0,0.0,1.0,0.0
237,2021-09-20,AMZN,0.4019,0.0,0.701,0.299
238,2021-09-22,AMZN,0.7351,0.0,0.592,0.408
239,2021-09-23,AMZN,0.4019,0.0,0.863,0.137
240,2021-09-28,AMZN,0.0,0.0,1.0,0.0
241,2020-10-11,BAC,0.0,0.0,1.0,0.0
242,2020-10-12,BAC,-0.5096,0.19,0.81,0.0
243,2020-10-13,BAC,0.9134,0.0,0.387,0.613
244,2020-10-16,BAC,-0.4019,0.278,0.722,0.0
245,2020-10-20,BAC,0.2263,0.0,0.725,0.275
246,2020-10-26,BAC,0.0,0.0,1.0,0.0
247,2020-11-04,BAC,0.296,0.0,0.645,0.355
248,2020-11-11,BAC,0.0,0.0,1.0,0.0
249,2020-11-16,BAC,0.4404,0.0,0.818,0.182
250,2020-11-17,BAC,0.25,0.0,0.8,0.2
251,2020-11-25,BAC,0.0,0.0,1.0,0.0
252,2020-11-27,BAC,0.1779,0.0,0.638,0.362
253,2020-12-03,BAC,0.0,0.0,1.0,0.0
254,2020-12-17,BAC,0.0516,0.337,0.204,0.459
255,2020-12-19,BAC,0.25,0.0,0.778,0.222
256,2020-12-22,BAC,0.0,0.0,1.0,0.0
257,2020-12-27,BAC,0.0,0.0,1.0,0.0
258,2020-12-28,BAC,0.2263,0.16,0.611,0.229
259,2021-01-03,BAC,0.4588,0.0,0.769,0.231
260,2021-01-08,BAC,0.25,0.0,0.714,0.286
261,2021-01-10,BAC,0.0,0.0,1.0,0.0
262,2021-01-12,BAC,0.0,0.0,1.0,0.0
263,2021-01-14,BAC,0.0,0.0,1.0,0.0
264,2021-01-20,BAC,0.0,0.0,1.0,0.0
265,2021-01-25,BAC,-0.5152,0.3085,0.6915,0.0
266,2021-01-29,BAC,0.34,0.0,0.833,0.167
267,2021-02-06,BAC,0.2732,0.0,0.84,0.16
268,2021-02-08,BAC,0.128,0.0,0.824,0.176
269,2021-02-18,BAC,0.25,0.0,0.889,0.111
270,2021-02-26,BAC,0.0,0.0,1.0,0.0
271,2021-02-28,BAC,0.4019,0.0,0.69,0.31
272,2021-03-01,BAC,0.11750000000000002,0.1755,0.6655,0.159
273,2021-03-02,BAC,-0.6705,0.333,0.667,0.0
274,2021-03-09,BAC,-0.4023,0.382,0.618,0.0
275,2021-03-10,BAC,0.0,0.0,1.0,0.0
276,2021-03-22,BAC,0.0,0.0,1.0,0.0
277,2021-03-24,BAC,0.25,0.148,0.625,0.227
278,2021-03-26,BAC,0.0,0.0,1.0,0.0
279,2021-03-29,BAC,-0.0516,0.098,0.902,0.0
280,2021-04-02,BAC,0.0,0.0,1.0,0.0
281,2021-04-05,BAC,0.0,0.0,1.0,0.0
282,2021-04-09,BAC,0.9022,0.0,0.476,0.524
